---> Starting with dimension 16  and correlation 0 
Run: 9 out of 10  -  2025-06-11 09:51:51.645018 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 09:51:51.646805 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.648619 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 09:51:51.650477 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 09:51:51.652319 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 09:51:51.654101 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 09:51:51.65588 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 09:51:51.657672 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 09:51:51.659484 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 09:51:51.661316 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 09:51:51.663137 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 09:51:51.664954 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.666779 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 09:51:51.668595 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 09:51:51.670374 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 09:51:51.672147 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 09:51:51.673934 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 09:51:51.675718 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 09:51:51.677497 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 09:51:51.679325 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 09:51:51.681127 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 09:51:51.68293 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.684728 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 09:51:51.686492 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 09:51:51.688282 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 09:51:51.690066 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 09:51:51.691861 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 09:51:51.693657 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 09:51:51.695433 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 09:51:51.697232 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 09:51:51.69902 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 09:51:51.700805 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.702605 with b: 2 
Run: 2 out of 10  -  2025-06-11 09:51:51.704404 with b: 2 
Run: 3 out of 10  -  2025-06-11 09:51:51.706182 with b: 2 
Run: 4 out of 10  -  2025-06-11 09:51:51.70796 with b: 2 
Run: 5 out of 10  -  2025-06-11 09:51:51.70973 with b: 2 
Run: 6 out of 10  -  2025-06-11 09:51:51.711501 with b: 2 
Run: 7 out of 10  -  2025-06-11 09:51:51.713295 with b: 2 
Run: 8 out of 10  -  2025-06-11 09:51:51.715116 with b: 2 
Run: 9 out of 10  -  2025-06-11 09:51:51.716906 with b: 2 
Run: 10 out of 10  -  2025-06-11 09:51:51.718689 with b: 2 

 20 / 20 
---> Finished with dimension 64  and correlation 0 
---> Starting with dimension 128  and correlation 0 
Run: 1 out of 10  -  2025-06-11 09:51:51.720846 with b: -2 
Run: 2 out of 10  -  2025-06-11 09:51:51.739677 with b: -2 
Run: 3 out of 10  -  2025-06-11 09:51:51.766941 with b: -2 
Run: 4 out of 10  -  2025-06-11 09:51:51.810229 with b: -2 
Run: 5 out of 10  -  2025-06-11 09:51:51.833602 with b: -2 
Run: 6 out of 10  -  2025-06-11 09:51:51.852854 with b: -2 
Run: 7 out of 10  -  2025-06-11 09:51:51.871713 with b: -2 
Run: 8 out of 10  -  2025-06-11 09:51:51.89349 with b: -2 
Run: 9 out of 10  -  2025-06-11 09:51:51.916167 with b: -2 
Run: 10 out of 10  -  2025-06-11 09:51:51.937082 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.968349 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 09:51:51.989506 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 09:51:52.010224 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 09:51:52.067358 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 09:51:52.103156 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 09:51:52.12218 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 09:51:52.140608 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 09:51:52.166948 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 09:51:52.186897 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 09:51:52.208569 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:52.254205 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 09:51:52.307678 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 09:51:52.374122 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 09:51:52.439985 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 09:51:52.482447 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 09:51:52.501581 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 09:51:52.52011 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 09:51:52.573937 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 09:51:52.606576 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 09:51:52.625268 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:52.644065 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 09:51:52.669232 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 09:51:52.688186 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 09:51:52.7067 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 09:51:52.725235 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 09:51:52.743831 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 09:51:52.786838 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 09:51:52.825822 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 09:51:52.851468 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 09:51:52.878162 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:52.896764 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 09:51:52.915468 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 09:51:52.934165 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 09:51:52.952656 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 09:51:52.978818 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 09:51:52.997656 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 09:51:53.041892 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 09:51:53.080976 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 09:51:53.099833 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 09:51:53.118278 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:53.137418 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 09:51:53.15791 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 09:51:53.185222 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 09:51:53.203949 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 09:51:53.222481 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 09:51:53.241224 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 09:51:53.287363 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 09:51:53.322428 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 09:51:53.341355 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 09:51:53.360049 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:53.388897 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 09:51:53.408385 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 09:51:53.427049 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 09:51:53.446585 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 09:51:53.475326 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 09:51:53.537431 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 09:51:53.605853 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 09:51:53.689834 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 09:51:53.709198 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 09:51:53.728034 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:53.762662 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 09:51:53.813054 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 09:51:53.832032 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 09:51:53.850713 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 09:51:53.880345 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 09:51:53.899244 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 09:51:53.917979 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 09:51:53.93653 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 09:51:53.955139 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 09:51:53.984854 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:54.004115 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 09:51:54.022847 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 09:51:54.057509 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 09:51:54.108038 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 09:51:54.127163 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 09:51:54.145738 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 09:51:54.164547 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 09:51:54.192586 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 09:51:54.211558 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 09:51:54.230225 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:54.248811 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 09:51:54.267484 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 09:51:54.322417 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 09:51:54.35858 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 09:51:54.388743 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 09:51:54.408854 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 09:51:54.427412 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 09:51:54.445991 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 09:51:54.46459 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 09:51:54.493125 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:54.511773 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 09:51:54.556541 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 09:51:54.624785 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 09:51:54.672634 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 09:51:54.741455 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 09:51:54.776715 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 09:51:54.822906 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 09:51:54.848733 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 09:51:54.867586 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 09:51:54.896656 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:54.915191 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 09:51:54.933644 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 09:51:54.952257 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 09:51:54.971137 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 09:51:55.017072 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 09:51:55.05551 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 09:51:55.094424 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 09:51:55.113256 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 09:51:55.131771 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 09:51:55.150432 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:55.168973 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 09:51:55.197886 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 09:51:55.216631 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 09:51:55.235114 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 09:51:55.269816 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 09:51:55.303199 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 09:51:55.322035 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 09:51:55.340923 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 09:51:55.3596 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 09:51:55.390385 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:55.410645 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 09:51:55.429767 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 09:51:55.448243 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 09:51:55.46695 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 09:51:55.495844 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 09:51:55.514479 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 09:51:55.533044 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 09:51:55.586017 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 09:51:55.621786 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 09:51:55.643061 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:55.691421 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 09:51:55.75846 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 09:51:55.804644 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 09:51:55.843734 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 09:51:55.871043 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 09:51:55.900247 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 09:51:55.919218 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 09:51:55.937875 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 09:51:55.956679 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 09:51:55.975558 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:56.003996 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 09:51:56.022605 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 09:51:56.068878 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 09:51:56.111743 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 09:51:56.130554 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 09:51:56.149315 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 09:51:56.167882 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 09:51:56.200171 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 09:51:56.219153 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 09:51:56.237598 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:56.256373 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 09:51:56.300549 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 09:51:56.338143 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 09:51:56.357459 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 09:51:56.375815 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 09:51:56.409297 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 09:51:56.428415 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 09:51:56.44761 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 09:51:56.466457 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 09:51:56.497614 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:56.532518 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 09:51:56.571295 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 09:51:56.609524 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 09:51:56.630114 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 09:51:56.648883 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 09:51:56.667512 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 09:51:56.70202 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 09:51:56.748277 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 09:51:56.784868 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 09:51:56.805095 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:56.823911 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 09:51:56.945163 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 09:51:57.015603 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 09:51:57.075593 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 09:51:57.116788 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 09:51:57.1357 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 09:51:57.154305 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 09:51:57.173173 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 09:51:57.202855 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 09:51:57.221724 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:57.240396 with b: 2 
Run: 2 out of 10  -  2025-06-11 09:51:57.259048 with b: 2 
Run: 3 out of 10  -  2025-06-11 09:51:57.294026 with b: 2 
Run: 4 out of 10  -  2025-06-11 09:51:57.333008 with b: 2 
Run: 5 out of 10  -  2025-06-11 09:51:57.359125 with b: 2 
Run: 6 out of 10  -  2025-06-11 09:51:57.377824 with b: 2 
Run: 7 out of 10  -  2025-06-11 09:51:57.407483 with b: 2 
Run: 8 out of 10  -  2025-06-11 09:51:57.426445 with b: 2 
Run: 9 out of 10  -  2025-06-11 09:51:57.445653 with b: 2 
Run: 10 out of 10  -  2025-06-11 09:51:57.464517 with b: 2 

 20 / 20 
---> Finished with dimension 128  and correlation 0 
---> Starting with dimension 256  and correlation 0 
Run: 1 out of 10  -  2025-06-11 09:51:57.484075 with b: -2 
Run: 2 out of 10  -  2025-06-11 09:51:57.733666 with b: -2 
Run: 3 out of 10  -  2025-06-11 09:51:58.002661 with b: -2 
Run: 4 out of 10  -  2025-06-11 09:51:58.263729 with b: -2 
Run: 5 out of 10  -  2025-06-11 09:51:58.573989 with b: -2 
Run: 6 out of 10  -  2025-06-11 09:51:58.843984 with b: -2 
Run: 7 out of 10  -  2025-06-11 09:51:59.128435 with b: -2 
Run: 8 out of 10  -  2025-06-11 09:51:59.37255 with b: -2 
Run: 9 out of 10  -  2025-06-11 09:51:59.600511 with b: -2 
Run: 10 out of 10  -  2025-06-11 09:51:59.905278 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:00.131204 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 09:52:00.334247 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 09:52:00.633988 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 09:52:00.890258 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 09:52:01.09324 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 09:52:01.332326 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 09:52:01.559857 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 09:52:01.849835 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 09:52:02.191017 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 09:52:02.414266 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:02.649451 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 09:52:02.854594 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 09:52:03.163783 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 09:52:03.418825 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 09:52:03.655669 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 09:52:03.890176 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 09:52:04.128437 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 09:52:04.429899 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 09:52:04.668847 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 09:52:04.916435 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:05.154358 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 09:52:05.362663 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 09:52:05.655083 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 09:52:05.936822 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 09:52:06.167521 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 09:52:06.402324 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 09:52:06.612985 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 09:52:06.90229 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 09:52:07.209153 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 09:52:07.442823 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:07.677194 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 09:52:07.933184 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 09:52:08.235419 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 09:52:08.471843 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 09:52:08.702929 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 09:52:08.938201 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 09:52:09.261516 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 09:52:09.45103 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 09:52:09.685252 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 09:52:09.913649 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:10.178546 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 09:52:10.460011 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 09:52:10.716662 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 09:52:10.959899 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 09:52:11.19521 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 09:52:11.436127 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 09:52:11.70701 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 09:52:11.938164 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 09:52:12.177954 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 09:52:12.445797 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:12.706232 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 09:52:12.94387 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 09:52:13.185323 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 09:52:13.423729 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 09:52:13.714106 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 09:52:13.9655 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 09:52:14.209226 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 09:52:14.447863 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 09:52:14.743794 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 09:52:15.004925 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:15.239492 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 09:52:15.476029 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 09:52:15.792475 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 09:52:15.986982 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 09:52:16.225491 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 09:52:17.244689 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 09:52:17.56465 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 09:52:17.793751 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 09:52:18.013094 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 09:52:18.248365 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:18.515701 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 09:52:18.843199 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 09:52:19.150442 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 09:52:19.442091 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 09:52:19.708547 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 09:52:20.018103 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 09:52:20.279823 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 09:52:20.478879 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 09:52:20.750372 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 09:52:20.991473 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 09:52:21.229186 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 09:52:21.467479 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 09:52:21.706602 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 09:52:21.984672 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 09:52:22.269629 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 09:52:22.505042 with b: -0.105 
